Nr okr.,TERYT,Gmina,L. obw.,Liczba wyborców,Otrzymane karty,Niewykorzystane karty,Wydane karty,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,Pakiety wyborcze,Koperty zwrotne,Koperty  bez oświadczenia,Niepodpisane oświadczenie,Koperty zwrotne bez koperty na kartę do głosowania,Niezaklejona koperta na kartę do głosowania,Koperty na kartę do głosowania wrzucone do urny,Karty wyjęte z urny,Karty wyjęte z kopert na karty do głosowania,Karty nieważne,Karty ważne,Głosy nieważne,w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona",Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
11,101704,gm. Mokrsko,6,4367,3252,1230,2022,3,14,0,0,0,0,0,0,0,2022,0,0,2022,83,67,16,0,1939,897,247,77,64,251,134,182,66,,6.0,,,7.0,8.0,,,
11,101705,gm. Osjaków,6,3844,2800,978,1822,1,15,0,0,0,0,0,0,0,1822,0,0,1822,62,34,19,0,1760,862,144,46,86,206,93,205,71,,7.0,,,33.0,7.0,,,
11,101706,gm. Ostrówek,6,3645,2680,1114,1566,1,9,0,0,0,0,0,0,0,1566,0,0,1566,68,45,17,0,1498,691,177,43,24,326,88,103,33,,3.0,,,6.0,4.0,,,
11,101707,gm. Pątnów,9,5229,3800,1392,2408,4,11,1,1,0,0,0,0,1,2409,1,0,2409,92,71,20,0,2317,1192,175,56,72,450,77,211,64,,10.0,,,7.0,3.0,,,
11,101708,gm. Skomlin,4,2698,2000,825,1175,1,5,0,0,0,0,0,0,0,1175,0,2,1173,61,41,18,0,1112,452,134,41,26,231,66,128,25,,3.0,,,4.0,2.0,,,
11,101709,gm. Wieluń,24,26270,19866,6856,13008,5,67,3,3,0,0,0,0,3,13007,3,1,13006,286,216,70,0,12720,4814,3037,446,485,1062,1085,935,768,,50.0,,,18.0,20.0,,,
11,101710,gm. Wierzchlas,7,5404,4000,1726,2274,0,18,0,0,0,0,0,0,0,2274,0,0,2274,91,70,21,0,2183,958,325,76,73,328,153,185,67,,10.0,,,6.0,2.0,,,
11,101801,gm. Bolesławiec,4,3365,2450,1039,1411,1,18,0,0,0,0,0,0,0,1411,0,0,1411,60,42,17,0,1351,517,238,51,55,191,80,142,65,,4.0,,,5.0,3.0,,,
11,101802,gm. Czastary,3,3170,2299,993,1306,0,8,0,0,0,0,0,0,0,1306,0,0,1306,62,46,15,0,1244,543,126,21,38,184,73,196,52,,6.0,,,3.0,2.0,,,
11,101803,gm. Galewice,5,4984,3702,1792,1910,0,9,0,0,0,0,0,0,0,1910,0,0,1910,67,40,24,0,1843,765,338,64,75,235,94,188,64,,11.0,,,6.0,3.0,,,
11,101804,gm. Lututów,6,3710,2700,1022,1678,3,10,1,1,0,0,0,0,1,1678,1,0,1678,58,35,23,0,1620,709,215,41,58,263,115,155,42,,14.0,,,5.0,3.0,,,
11,101805,gm. Łubnice,3,3365,2450,1114,1336,0,9,0,0,0,0,0,0,0,1335,0,0,1335,53,38,15,0,1282,500,178,30,41,271,76,133,36,,10.0,,,7.0,0.0,,,
11,101806,gm. Sokolniki,4,3953,2950,1164,1786,0,11,0,0,0,0,0,0,0,1785,0,0,1785,45,26,16,0,1740,750,250,47,66,245,93,212,57,,14.0,,,4.0,2.0,,,
11,101807,gm. Wieruszów,13,11499,8566,2835,5731,10,48,1,0,0,0,0,0,0,5730,0,0,5730,178,113,65,0,5552,1895,1435,178,284,601,374,480,243,,42.0,,,8.0,12.0,,,
11,101901,m. Zduńska Wola,23,34403,25746,7943,17803,8,66,8,8,1,0,0,0,7,17803,7,0,17803,367,248,104,0,17436,6168,4193,611,841,1138,1508,1762,1044,,125.0,,,23.0,23.0,,,
11,101902,gm. Szadek,8,6052,4381,1661,2720,3,14,0,0,0,0,0,0,0,2719,0,0,2719,108,85,20,0,2611,1059,359,70,75,557,141,233,94,,12.0,,,8.0,3.0,,,
11,101903,gm. Zapolice,4,4127,3050,1282,1768,2,3,0,0,0,0,0,0,0,1767,0,0,1767,72,51,21,0,1695,670,306,67,61,204,80,203,88,,9.0,,,1.0,6.0,,,
11,101904,gm. Zduńska Wola,7,9369,7279,2741,4538,1,20,0,0,0,0,0,0,0,4538,0,0,4538,137,83,41,0,4401,1929,745,152,200,460,193,449,209,,33.0,,,6.0,25.0,,,
11,102001,m. Głowno,12,12030,9078,3100,5978,5,47,0,0,0,0,0,0,0,5976,0,1,5975,125,61,53,0,5850,1949,1584,278,253,169,621,532,399,,33.0,,,6.0,26.0,,,
11,102002,m. Ozorków,16,16061,11793,4185,7608,7,25,0,0,0,0,0,0,0,7607,0,0,7607,238,170,66,0,7369,2773,1510,364,332,612,662,582,462,,45.0,,,6.0,21.0,,,
11,102003,m. Zgierz,40,46121,35103,10099,25004,16,137,11,11,1,0,0,0,10,25009,10,2,25007,546,382,156,0,24461,8212,7273,1256,1039,602,2139,1837,1842,,161.0,,,17.0,83.0,,,
11,102004,gm. Aleksandrów Łódzki,18,24018,17936,4160,13776,4,67,5,5,0,0,0,0,5,13778,5,9,13769,309,239,69,0,13460,3979,4986,519,597,278,757,1201,1037,,71.0,,,3.0,32.0,,,
11,102005,gm. Głowno,6,3964,2895,1180,1715,0,5,1,0,0,0,0,0,0,1714,0,0,1714,44,26,18,0,1670,772,167,51,65,189,212,141,58,,9.0,,,3.0,3.0,,,
11,102006,gm. Ozorków,7,5745,4214,1240,2974,2,23,4,4,0,0,0,0,4,2977,4,0,2977,100,73,26,0,2877,1316,482,91,86,269,151,225,227,,15.0,,,11.0,4.0,,,
11,102007,gm. Parzęczew,9,4088,2928,973,1955,2,22,0,0,0,0,0,0,0,1955,0,0,1955,83,44,32,0,1872,674,355,72,88,148,171,192,142,,5.0,,,1.0,24.0,,,
