Nr okr.,TERYT,Gmina,L. obw.,Liczba wyborców,Otrzymane karty,Niewykorzystane karty,Wydane karty,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,Pakiety wyborcze,Koperty zwrotne,Koperty  bez oświadczenia,Niepodpisane oświadczenie,Koperty zwrotne bez koperty na kartę do głosowania,Niezaklejona koperta na kartę do głosowania,Koperty na kartę do głosowania wrzucone do urny,Karty wyjęte z urny,Karty wyjęte z kopert na karty do głosowania,Karty nieważne,Karty ważne,Głosy nieważne,w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona",Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
1,20101,m. Bolesławiec,24,31388,24221,8858,15363,15,100,4,4,0,0,0,0,4,15365,4,2,15363,358,246,103,0,15005,4579,4416,520,969,425,1751,1154,1191,,,,,,,,,
1,20102,gm. Bolesławiec,11,10953,8338,3622,4716,0,33,1,1,0,0,0,0,1,4715,1,0,4715,154,105,49,0,4561,1591,1090,140,292,227,338,502,381,,,,,,,,,
1,20103,gm. Gromadka,4,4509,3440,1573,1867,0,8,0,0,0,0,0,0,0,1866,0,0,1866,107,77,19,0,1759,796,382,60,48,98,149,164,62,,,,,,,,,
1,20104,gm. Nowogrodziec,12,11915,9121,4869,4252,2,19,0,0,0,0,0,0,0,4252,0,0,4252,221,171,48,0,4031,1595,834,153,245,208,227,531,238,,,,,,,,,
1,20105,gm. Osiecznica,7,5456,4155,2019,2136,0,22,0,0,0,0,0,0,0,2136,0,0,2136,98,78,18,0,2038,609,512,90,149,102,197,246,133,,,,,,,,,
1,20106,gm. Warta Bolesławiecka,6,6705,5098,2537,2561,3,30,3,3,0,0,0,0,3,2564,3,0,2564,87,61,22,0,2477,962,584,90,119,110,203,277,132,,,,,,,,,
2,20201,m. Bielawa,22,25042,19148,8190,10958,4,42,25,25,0,0,1,0,24,10978,24,0,10978,353,252,88,0,10625,3393,2857,421,457,99,1620,915,726,137.0,,,,,,,,
2,20202,m. Dzierżoniów,23,27607,21136,7521,13615,12,60,5,5,0,0,0,0,5,13619,5,72,13547,289,197,74,0,13258,4186,4426,447,498,158,1244,1075,1114,110.0,,,,,,,,
2,20203,m. Pieszyce,8,7670,5840,2657,3183,6,20,0,0,0,0,0,0,0,3183,0,0,3183,128,85,43,0,3055,1119,864,95,149,214,205,226,157,26.0,,,,,,,,
2,20204,m. Piława Górna,3,5279,4031,1870,2161,9,5,0,0,0,0,0,0,0,2161,0,0,2161,80,53,27,0,2081,779,485,98,108,41,135,215,207,13.0,,,,,,,,
2,20205,gm. Dzierżoniów,13,7666,5900,2541,3359,0,13,2,2,0,0,1,0,1,3356,1,0,3356,153,107,32,0,3203,1230,812,113,118,98,201,405,194,32.0,,,,,,,,
2,20206,gm. Łagiewniki,6,6085,4619,2103,2516,1,21,1,1,0,0,0,0,1,2513,1,0,2513,109,77,29,0,2404,1002,562,88,102,100,152,238,137,23.0,,,,,,,,
2,20207,gm. Niemcza,6,4750,3600,1664,1936,1,51,0,0,0,0,0,0,0,1936,0,0,1936,77,47,28,0,1859,625,492,55,79,111,155,190,144,8.0,,,,,,,,
1,20301,m. Głogów,38,53869,41733,13914,27819,6,140,12,12,0,0,0,0,12,27822,12,2,27820,664,518,130,0,27156,10653,7307,979,876,369,3101,2121,1750,,,,,,,,,
1,20302,gm. Głogów,4,5190,3959,1320,2639,1,22,0,0,0,0,0,0,0,2639,0,0,2639,113,90,23,0,2526,1082,564,110,110,70,205,199,186,,,,,,,,,
1,20303,gm. Jerzmanowa,4,3563,2710,777,1933,1,5,0,0,0,0,0,0,0,1933,0,0,1933,62,52,9,0,1871,733,399,76,92,77,190,155,149,,,,,,,,,
1,20304,gm. Kotla,5,3410,2731,1372,1359,0,6,0,0,0,0,0,0,0,1358,0,0,1358,63,50,9,0,1295,580,294,56,30,44,119,106,66,,,,,,,,,
1,20305,gm. Pęcław,2,1779,1350,602,748,0,7,1,1,0,0,0,0,1,749,1,0,749,41,35,3,0,708,341,123,19,18,94,38,61,14,,,,,,,,,
1,20306,gm. Żukowice,2,2768,2110,963,1147,3,3,0,0,0,0,0,0,0,1147,0,0,1147,50,43,7,0,1097,444,267,30,35,53,86,139,43,,,,,,,,,
3,20401,gm. Góra,14,16082,12249,5781,6468,1,40,2,2,0,0,0,0,2,6466,2,0,6466,222,145,77,0,6244,1981,2270,196,198,403,343,538,262,,46.0,,,,7.0,,,
3,20402,gm. Jemielno,3,2479,1900,1049,850,3,6,0,0,0,0,0,0,0,851,0,0,851,37,23,14,0,814,293,155,11,21,172,51,78,26,,7.0,,,,0.0,,,
3,20403,gm. Niechlów,4,3936,3050,1728,1322,0,2,3,3,0,0,0,0,3,1325,3,0,1325,72,60,12,0,1253,492,261,51,61,160,62,106,49,,8.0,,,,3.0,,,
3,20404,gm. Wąsosz,5,5865,4500,2377,2123,0,4,3,3,0,0,0,0,3,2126,3,0,2126,102,75,26,0,2024,706,472,72,71,195,144,241,109,,10.0,,,,4.0,,,
1,20501,m. Jawor,14,19624,15101,5972,9129,3,30,7,7,0,0,0,0,7,9136,7,1,9135,204,144,55,0,8931,3487,2014,300,416,260,819,1014,621,,,,,,,,,
1,20502,gm. Bolków,13,8691,6682,3288,3394,2,26,3,3,0,0,0,0,3,3397,3,0,3397,145,120,25,0,3252,952,704,117,126,457,387,323,186,,,,,,,,,
1,20503,gm. Męcinka,4,3939,3010,1366,1644,0,6,0,0,0,0,0,0,0,1644,0,0,1644,56,48,8,0,1588,775,240,35,59,131,110,161,77,,,,,,,,,
1,20504,gm. Mściwojów,3,3272,2510,1138,1372,0,5,0,0,0,0,0,0,0,1372,0,0,1372,49,39,8,0,1323,429,289,45,46,190,122,130,72,,,,,,,,,
1,20505,gm. Paszowice,2,3201,2440,1113,1327,0,2,0,0,0,0,0,0,0,1327,0,0,1327,39,32,7,0,1288,523,232,36,77,115,92,123,90,,,,,,,,,
1,20506,gm. Wądroże Wielkie,3,3299,2512,1206,1306,0,33,0,0,0,0,0,0,0,1306,0,0,1306,57,44,12,0,1249,406,227,41,32,260,77,149,57,,,,,,,,,
1,20601,m. Karpacz,7,4424,3290,1111,2179,2,234,5,5,0,0,0,0,5,2184,5,0,2184,40,25,14,0,2144,404,815,97,128,95,226,155,224,,,,,,,,,
1,20602,m. Kowary,11,9068,7055,3168,3887,0,26,2,2,0,0,0,0,2,3889,2,0,3889,155,112,43,0,3734,999,1229,179,182,117,376,345,307,,,,,,,,,
1,20603,m. Piechowice,4,5246,4000,1543,2457,4,15,0,0,0,0,0,0,0,2455,0,0,2455,72,47,25,0,2383,632,749,94,141,108,211,221,227,,,,,,,,,
1,20604,m. Szklarska Poręba,6,5506,4142,1549,2593,1,169,0,0,0,0,0,0,0,2593,0,0,2593,66,36,30,0,2527,643,842,123,90,104,268,232,225,,,,,,,,,
1,20605,gm. Janowice Wielkie,5,3485,2703,1165,1538,2,27,1,1,0,0,0,0,1,1539,1,0,1539,66,47,19,0,1473,407,484,74,45,54,119,127,163,,,,,,,,,
1,20606,gm. Jeżów Sudecki,4,5617,4290,1669,2621,0,17,3,3,0,0,0,0,3,2620,3,0,2620,64,40,24,0,2556,660,848,106,93,109,225,178,337,,,,,,,,,
1,20607,gm. Mysłakowice,7,8183,6238,2611,3627,2,24,2,2,0,0,0,0,2,3629,2,0,3629,147,96,51,0,3482,977,1064,156,144,189,236,352,364,,,,,,,,,
1,20608,gm. Podgórzyn,7,6628,5038,2033,3005,4,36,2,2,0,0,0,0,2,3007,2,0,3007,95,57,38,0,2912,658,826,110,99,484,225,246,264,,,,,,,,,
1,20609,gm. Stara Kamienica,4,4205,3186,1455,1731,1,10,0,0,0,0,0,0,0,1730,0,0,1730,45,34,11,0,1685,482,502,73,65,133,131,180,119,,,,,,,,,
1,20701,m. Kamienna Góra,12,16272,12599,5284,7315,3,36,4,4,0,0,0,0,4,7317,4,0,7317,227,156,55,0,7090,2259,2410,261,254,105,694,641,466,,,,,,,,,
1,20702,gm. Kamienna Góra,8,7013,5332,2195,3137,0,16,1,1,0,0,0,0,1,3138,1,0,3138,141,104,35,0,2997,1028,935,121,109,89,175,355,185,,,,,,,,,
1,20703,gm. Lubawka,7,9124,6960,2765,4195,5,27,0,0,0,0,0,0,0,4195,0,0,4195,179,144,33,0,4016,1115,1485,142,177,80,464,319,234,,,,,,,,,
1,20704,gm. Marciszów,7,3734,2870,1480,1390,0,6,1,1,0,0,0,0,1,1391,1,0,1391,62,49,13,0,1329,445,375,54,57,62,109,140,87,,,,,,,,,
2,20801,m. Duszniki-Zdrój,4,4177,3228,1231,1997,5,193,2,2,0,0,0,0,2,1999,2,0,1999,71,54,14,0,1928,581,642,89,112,28,180,131,153,12.0,,,,,,,,
2,20802,m. Kłodzko,23,22731,17673,6770,10903,18,85,7,7,0,0,0,0,7,10910,7,1,10909,289,213,72,0,10620,3299,3343,375,482,438,1002,958,639,84.0,,,,,,,,
2,20803,m. Kudowa-Zdrój,7,8560,6291,2194,4097,5,338,1,0,0,0,0,0,0,4096,0,0,4096,102,64,38,0,3994,1499,1193,123,149,63,414,300,231,22.0,,,,,,,,
2,20804,m. Nowa Ruda,18,19014,14643,6470,8173,10,37,6,6,0,0,0,0,6,8177,6,0,8177,265,190,45,0,7912,2138,3399,222,296,111,755,658,274,59.0,,,,,,,,
2,20805,m. Polanica-Zdrój,4,5899,4288,1294,2994,8,273,2,1,0,0,0,0,1,2995,1,0,2995,87,76,11,0,2908,993,956,79,114,81,233,224,222,6.0,,,,,,,,
2,20806,gm. Bystrzyca Kłodzka,19,15861,12163,5285,6878,4,145,2,2,2,0,0,0,0,6877,0,0,6877,242,172,57,0,6635,2581,1813,229,244,290,496,572,362,48.0,,,,,,,,
2,20807,gm. Kłodzko,15,13864,10590,4717,5873,2,30,3,3,0,0,0,0,3,5876,3,0,5876,259,207,48,0,5617,1916,1084,144,224,1158,309,518,232,32.0,,,,,,,,
2,20808,gm. Lądek-Zdrój,7,7298,5588,2254,3334,6,295,2,2,1,0,0,0,1,3335,1,0,3335,128,80,45,0,3207,1021,997,103,160,94,297,283,222,30.0,,,,,,,,
2,20809,gm. Lewin Kłodzki,2,1593,1227,625,602,1,4,3,3,0,0,0,0,3,605,3,0,605,15,13,2,0,590,234,142,23,22,37,40,55,29,8.0,,,,,,,,
2,20810,gm. Międzylesie,9,6030,4608,2314,2294,1,83,0,0,0,0,0,0,0,2294,0,0,2294,101,69,21,0,2193,689,597,103,101,94,200,263,126,20.0,,,,,,,,
2,20811,gm. Nowa Ruda,16,9730,7478,3663,3815,1,20,0,0,0,0,0,0,0,3815,0,0,3815,140,114,25,0,3675,1107,1216,104,160,286,301,325,138,38.0,,,,,,,,
2,20812,gm. Radków,8,7470,5727,2809,2918,3,29,1,1,0,0,0,0,1,2918,1,0,2918,139,114,25,0,2779,1035,830,88,114,146,165,255,119,27.0,,,,,,,,
2,20813,gm. Stronie Śląskie,7,6086,4625,2102,2523,0,56,0,0,0,0,0,0,0,2522,0,0,2522,100,67,33,0,2422,652,810,102,123,48,292,241,130,24.0,,,,,,,,
2,20814,gm. Szczytna,6,5936,4514,2194,2320,0,16,4,4,0,0,0,0,4,2323,4,0,2323,81,54,18,0,2242,622,713,87,128,102,199,249,118,24.0,,,,,,,,
1,20901,m. Chojnów,7,11068,8490,3726,4764,3,18,2,2,0,0,0,0,2,4766,2,0,4766,140,116,24,0,4626,1597,1160,193,258,136,450,483,349,,,,,,,,,
1,20902,gm. Chojnów,8,7615,5811,2846,2965,4,15,1,1,0,0,0,0,1,2965,1,0,2965,132,114,18,0,2833,1245,460,95,121,255,190,281,186,,,,,,,,,
1,20903,gm. Krotoszyce,3,2553,1930,746,1184,1,2,0,0,0,0,0,0,0,1184,0,0,1184,50,31,16,0,1134,513,228,39,38,73,62,131,50,,,,,,,,,
1,20904,gm. Kunice,5,4966,3779,1187,2592,1,21,2,2,0,0,0,0,2,2594,2,0,2594,42,31,11,0,2552,781,604,75,88,163,189,246,406,,,,,,,,,
1,20905,gm. Legnickie Pole,6,3778,2895,1131,1764,3,5,1,1,0,0,0,0,1,1765,1,0,1765,58,52,6,0,1707,694,343,55,100,106,131,192,86,,,,,,,,,
1,20906,gm. Miłkowice,8,5181,3928,1445,2483,1,8,0,0,0,0,0,0,0,2482,0,0,2482,84,60,23,0,2398,890,562,91,101,164,166,266,158,,,,,,,,,
1,20907,gm. Prochowice,6,6033,4580,1832,2748,1,23,5,4,0,0,0,0,4,2752,4,1,2751,137,99,26,0,2614,859,536,105,114,436,135,248,181,,,,,,,,,
1,20908,gm. Ruja,3,2144,1637,953,684,0,1,1,1,0,0,0,0,1,685,1,0,685,28,18,10,0,657,237,132,18,15,98,55,77,25,,,,,,,,,
1,21001,m. Lubań,15,17744,13649,5628,8021,5,48,9,9,0,0,0,0,9,8030,9,0,8030,163,106,57,0,7867,2457,2206,315,357,174,1119,715,524,,,,,,,,,
1,21002,m. Świeradów-Zdrój,5,3727,2700,1060,1640,2,145,0,0,0,0,0,0,0,1640,0,0,1640,47,32,15,0,1593,461,478,72,73,48,157,146,158,,,,,,,,,
1,21003,gm. Leśna,8,8132,6241,3025,3216,4,28,0,0,0,0,0,0,0,3216,0,0,3216,125,81,42,0,3091,884,815,198,155,151,335,392,161,,,,,,,,,
1,21004,gm. Lubań,8,5202,3970,1896,2074,0,5,2,2,0,0,0,0,2,2074,2,0,2074,90,78,12,0,1984,664,462,90,74,177,154,245,118,,,,,,,,,
1,21005,gm. Olszyna,4,5347,4080,2003,2077,0,7,5,5,0,0,0,0,5,2081,5,0,2081,72,48,20,0,2009,585,506,74,99,95,314,215,121,,,,,,,,,
1,21006,gm. Platerówka,2,1307,1010,446,564,2,1,0,0,0,0,0,0,0,564,0,0,564,10,5,5,0,554,244,114,20,19,21,38,76,22,,,,,,,,,
1,21007,gm. Siekierczyn,4,4085,3206,1433,1773,0,6,0,0,0,0,0,0,0,1773,0,0,1773,99,63,36,0,1674,597,360,36,64,96,270,162,89,,,,,,,,,
1,21101,m. Lubin,49,58343,45188,13137,32050,6,163,17,15,1,0,0,0,14,32059,14,7,32052,725,532,188,0,31327,13704,6336,900,1214,632,3569,3145,1827,,,,,,,,,
1,21102,gm. Lubin,11,11686,8881,2700,6181,3,21,0,0,0,0,0,0,0,6181,0,2,6179,192,152,39,0,5987,2615,1103,210,247,248,556,553,455,,,,,,,,,
1,21103,gm. Rudna,7,6131,4660,1585,3075,3,12,1,1,0,0,0,0,1,3076,1,0,3076,149,103,39,0,2927,1437,476,109,95,139,264,296,111,,,,,,,,,
1,21104,gm. Ścinawa,8,8102,6180,2414,3766,4,22,4,4,0,0,0,0,4,3770,4,0,3770,159,126,33,0,3611,1839,557,96,151,180,243,377,168,,,,,,,,,
1,21201,gm. Gryfów Śląski,7,8103,6220,2967,3253,4,19,1,1,0,0,0,0,1,3254,1,0,3254,121,80,40,0,3133,959,760,150,130,190,482,299,163,,,,,,,,,
1,21202,gm. Lubomierz,7,4920,3760,1925,1835,0,18,0,0,0,0,0,0,0,1835,0,0,1835,80,55,25,0,1755,558,434,71,71,129,137,259,96,,,,,,,,,
1,21203,gm. Lwówek Śląski,13,14138,10807,5136,5671,5,33,7,7,0,0,0,0,7,5678,7,0,5678,155,125,30,0,5523,1803,1488,214,264,293,499,619,343,,,,,,,,,
1,21204,gm. Mirsk,6,7048,5415,2655,2760,3,22,0,0,0,0,0,0,0,2760,0,0,2760,150,115,35,0,2610,850,535,88,111,277,218,395,136,,,,,,,,,
1,21205,gm. Wleń,6,3619,2819,1320,1499,3,27,0,0,0,0,0,0,0,1499,0,0,1499,72,48,22,0,1427,484,396,65,54,97,121,135,75,,,,,,,,,
3,21301,gm. Cieszków,3,3748,2850,1196,1654,4,10,1,1,0,0,0,0,1,1653,1,0,1653,47,33,14,0,1606,656,279,34,54,260,115,138,61,,6.0,,,,3.0,,,
3,21302,gm. Krośnice,5,6383,4878,2281,2597,1,6,3,3,0,0,0,0,3,2600,3,0,2600,127,79,46,0,2473,1120,522,61,89,189,169,200,101,,20.0,,,,2.0,,,
3,21303,gm. Milicz,22,19443,14807,6163,8644,4,48,2,2,0,0,0,0,2,8644,2,0,8644,318,208,105,0,8326,3175,2328,276,277,342,648,652,526,,79.0,,,,23.0,,,
3,21401,m. Oleśnica,23,30167,22876,7431,15445,11,70,5,5,0,0,0,0,5,15445,5,0,15445,365,268,88,0,15080,4801,4829,605,799,260,1190,1231,1237,,105.0,,,,23.0,,,
3,21402,gm. Bierutów,7,8109,6198,2998,3200,8,11,1,1,0,0,0,0,1,3200,1,0,3200,181,125,48,0,3019,1098,832,95,127,160,173,338,162,,28.0,,,,6.0,,,
3,21403,gm. Dobroszyce,3,5181,3748,1529,2219,0,10,0,0,0,0,0,0,0,2219,0,0,2219,82,50,21,0,2137,786,524,88,113,113,105,248,140,,15.0,,,,5.0,,,
3,21404,gm. Dziadowa Kłoda,3,3640,2751,1458,1293,0,6,0,0,0,0,0,0,0,1293,0,0,1293,63,50,13,0,1230,296,498,36,34,123,62,104,66,,8.0,,,,3.0,,,
3,21405,gm. Międzybórz,4,3989,3000,1416,1584,2,8,0,0,0,0,0,0,0,1584,0,0,1584,71,53,18,0,1513,399,525,72,53,129,63,173,88,,5.0,,,,6.0,,,
3,21406,gm. Oleśnica,8,9989,7548,3432,4116,0,21,2,2,0,0,0,0,2,4118,2,0,4118,156,110,45,0,3962,1400,1077,142,198,188,212,402,300,,33.0,,,,10.0,,,
3,21407,gm. Syców,10,13281,10248,4074,6174,3,36,0,0,0,0,0,0,0,6172,0,0,6172,199,142,55,0,5973,1786,2098,226,300,254,361,485,410,,32.0,,,,21.0,,,
3,21408,gm. Twardogóra,6,10396,7850,3311,4539,1,20,2,2,0,0,0,0,2,4540,2,0,4540,249,171,77,0,4291,1340,1368,192,208,220,261,358,293,,34.0,,,,17.0,,,
3,21501,m. Oława,19,25751,19471,5507,13964,6,80,6,6,0,0,0,0,6,13969,6,0,13969,327,252,75,0,13642,4513,4496,437,603,201,978,1238,1066,,71.0,,,,39.0,,,
3,21502,gm. Domaniów,6,4200,3200,1385,1815,0,11,0,0,0,0,0,0,0,1815,0,0,1815,99,80,16,0,1716,639,529,38,77,108,84,156,57,,11.0,,,,17.0,,,
3,21503,gm. Jelcz-Laskowice,13,18057,13601,4596,9005,1,29,2,2,0,0,0,0,2,9006,2,0,9006,246,198,43,0,8760,3430,2330,291,468,269,456,828,587,,80.0,,,,21.0,,,
3,21504,gm. Oława,12,11734,8902,3164,5738,5,21,0,0,0,0,0,0,0,5736,0,0,5736,220,153,57,0,5516,2154,1478,176,256,166,263,596,363,,51.0,,,,13.0,,,
1,21601,gm. Chocianów,11,10276,7825,2722,5103,1,24,2,2,0,0,0,0,2,5105,2,0,5105,203,165,37,0,4902,2617,688,149,212,211,338,488,199,,,,,,,,,
1,21602,gm. Gaworzyce,4,3122,2370,821,1549,4,11,0,0,0,0,0,0,0,1548,0,0,1548,61,54,7,0,1487,570,150,29,47,463,84,110,34,,,,,,,,,
1,21603,gm. Grębocice,4,4178,3167,1445,1722,0,5,2,2,0,0,0,0,2,1724,2,0,1724,78,60,18,0,1646,751,292,53,56,155,147,149,43,,,,,,,,,
1,21604,gm. Polkowice,16,20807,15921,5018,10899,4,38,5,5,0,0,0,0,5,10905,5,0,10905,421,307,98,0,10484,4708,1791,360,532,419,1233,948,493,,,,,,,,,
1,21605,gm. Przemków,7,6939,5310,2310,3000,0,15,0,0,0,0,0,0,0,3000,0,0,3000,143,117,19,0,2857,1270,596,80,161,128,255,257,110,,,,,,,,,
1,21606,gm. Radwanice,3,3716,2830,1139,1691,2,5,0,0,0,0,0,0,0,1691,0,0,1691,53,42,11,0,1638,645,280,46,57,198,165,177,70,,,,,,,,,
3,21701,gm. Borów,3,4326,3246,1258,1988,0,10,0,0,0,0,0,0,0,1988,0,0,1988,80,58,20,0,1908,906,335,49,57,199,62,190,89,,16.0,,,,5.0,,,
3,21702,gm. Kondratowice,5,3666,2700,1324,1376,5,8,0,0,0,0,0,0,0,1376,0,0,1376,63,43,16,0,1313,527,370,52,31,91,60,133,39,,4.0,,,,6.0,,,
3,21703,gm. Przeworno,6,4044,3100,1579,1521,2,7,0,0,0,0,0,0,0,1521,0,0,1521,81,67,12,0,1440,611,316,46,40,128,59,162,62,,14.0,,,,2.0,,,
3,21704,gm. Strzelin,16,18301,14190,5482,8708,4,70,2,2,0,0,0,0,2,8710,2,0,8710,273,208,57,0,8437,2833,2493,220,294,713,626,771,435,,36.0,,,,16.0,,,
3,21705,gm. Wiązów,5,5939,4498,2003,2495,0,12,0,0,0,0,0,0,0,2495,0,0,2495,96,67,29,0,2399,1158,496,70,63,164,92,243,96,,15.0,,,,2.0,,,
3,21801,gm. Kostomłoty,4,5736,4350,2049,2301,3,16,1,1,0,0,0,0,1,2301,1,0,2301,111,85,26,0,2190,869,399,78,88,235,145,226,127,,15.0,,,,8.0,,,
3,21802,gm. Malczyce,4,4759,3601,1640,1961,2,9,2,2,0,0,0,0,2,1962,2,0,1962,89,64,24,0,1873,679,478,72,101,65,136,235,96,,8.0,,,,3.0,,,
3,21803,gm. Miękinia,8,11146,8350,2806,5543,0,54,5,5,0,0,0,0,5,5548,5,0,5548,182,132,45,0,5366,1685,1785,213,261,87,274,514,501,,23.0,,,,23.0,,,
3,21804,gm. Środa Śląska,9,15693,11857,4926,6931,1,42,3,3,0,0,0,0,3,6934,3,0,6934,178,119,57,0,6756,2213,2156,207,256,237,439,757,429,,43.0,,,,19.0,,,
3,21805,gm. Udanin,4,4440,3350,1645,1705,0,4,0,0,0,0,0,0,0,1705,0,0,1705,66,51,15,0,1639,657,321,48,46,275,79,149,56,,3.0,,,,5.0,,,
2,21901,m. Świdnica,25,47190,36052,11294,24758,17,137,15,14,0,1,0,0,13,24766,13,0,24766,590,423,158,0,24176,7039,7699,753,1120,238,2331,2023,2701,272.0,,,,,,,,
2,21902,m. Świebodzice,22,18384,14089,5343,8746,25,34,0,0,0,0,0,0,0,8746,0,2,8744,271,191,58,0,8473,2443,2550,308,396,95,681,1038,588,374.0,,,,,,,,
2,21903,gm. Dobromierz,5,4304,3280,1509,1771,0,2,0,0,0,0,0,0,0,1770,0,0,1770,86,71,13,0,1684,717,487,48,42,57,97,165,57,14.0,,,,,,,,
2,21904,gm. Jaworzyna Śląska,7,8356,6360,2867,3493,0,7,0,0,0,0,0,0,0,3493,0,0,3493,112,90,20,0,3381,1290,821,124,160,54,242,369,261,60.0,,,,,,,,
2,21905,gm. Marcinowice,8,5177,3970,1684,2286,0,6,4,2,0,0,0,0,2,2288,2,0,2288,96,78,17,0,2192,857,524,71,115,139,126,216,117,27.0,,,,,,,,
2,21906,gm. Strzegom,25,21414,16353,7036,9317,9,40,8,8,0,0,0,0,8,9325,8,0,9325,380,289,74,0,8945,3041,2490,270,578,402,667,817,566,114.0,,,,,,,,
2,21907,gm. Świdnica,10,13417,10109,4097,6012,1,33,9,9,0,0,0,0,9,6019,9,0,6019,278,165,55,0,5741,1778,1722,203,228,204,390,602,560,54.0,,,,,,,,
2,21908,gm. Żarów,11,10124,7725,3239,4486,4,16,2,2,1,0,0,0,1,4487,1,0,4487,153,106,47,0,4334,1436,1221,140,227,104,387,402,293,124.0,,,,,,,,
3,22001,gm. Oborniki Śląskie,15,15618,11923,3691,8232,1,89,9,9,0,0,0,0,9,8237,9,0,8237,203,150,53,0,8034,2685,2502,322,354,205,422,679,814,,37.0,,,,14.0,,,
3,22002,gm. Prusice,5,7502,5849,2874,2975,1,14,0,0,0,0,0,0,0,2975,0,0,2975,114,84,30,0,2861,1143,727,108,111,233,115,290,105,,23.0,,,,6.0,,,
3,22003,gm. Trzebnica,17,18430,13949,5090,8859,9,70,0,0,0,0,0,0,0,8859,0,0,8859,204,151,42,0,8655,3180,2457,286,493,245,533,758,626,,49.0,,,,28.0,,,
3,22004,gm. Wisznia Mała,4,7755,5900,1769,4130,0,49,3,3,0,0,0,0,3,4131,3,0,4131,103,73,22,0,4028,1435,1140,172,177,79,195,325,469,,23.0,,,,13.0,,,
3,22005,gm. Zawonia,3,4664,3499,1640,1859,0,16,0,0,0,0,0,0,0,1855,0,0,1855,94,70,21,0,1761,608,491,87,78,87,103,169,118,,14.0,,,,6.0,,,
3,22006,gm. Żmigród,10,11827,8944,4328,4616,3,19,0,0,0,0,0,0,0,4615,0,1,4614,182,141,41,0,4432,1300,1105,165,215,675,269,434,228,,26.0,,,,15.0,,,
2,22101,m. Boguszów-Gorce,9,12747,9800,4809,4991,5,15,1,1,1,0,0,0,0,4991,0,0,4991,181,134,47,0,4810,1337,1858,170,186,94,499,382,249,35.0,,,,,,,,
2,22102,m. Jedlina-Zdrój,5,3927,2990,1234,1756,1,31,2,2,0,0,0,0,2,1758,2,0,1758,62,48,10,0,1696,454,647,72,91,40,137,146,98,11.0,,,,,,,,
2,22103,m. Szczawno-Zdrój,5,4952,3790,995,2794,5,193,2,2,0,0,0,0,2,2797,2,0,2797,68,52,16,0,2729,654,1168,99,92,42,290,143,208,33.0,,,,,,,,
2,22104,gm. Czarny Bór,5,3859,2930,1074,1856,2,5,0,0,0,0,0,0,0,1856,0,0,1856,83,65,18,0,1773,580,485,70,70,205,122,138,93,10.0,,,,,,,,
2,22105,gm. Głuszyca,6,7221,5600,2606,2994,2,13,1,1,0,0,0,0,1,2993,1,0,2993,104,80,22,0,2889,793,1089,112,292,62,161,220,141,19.0,,,,,,,,
2,22106,gm. Mieroszów,9,5632,4310,2146,2164,0,12,1,1,0,0,0,0,1,2165,1,0,2165,70,57,13,0,2095,509,836,64,102,106,183,161,114,20.0,,,,,,,,
2,22107,gm. Stare Bogaczowice,6,3346,2571,1101,1470,0,2,2,2,0,0,0,0,2,1472,2,0,1472,62,48,14,0,1410,397,543,58,52,39,90,137,87,7.0,,,,,,,,
2,22108,gm. Walim,5,4617,3510,1628,1882,0,22,1,1,0,0,0,0,1,1883,1,0,1883,82,68,13,0,1801,548,626,74,112,40,144,133,117,7.0,,,,,,,,
3,22201,gm. Brzeg Dolny,11,12967,9747,3701,6046,3,16,5,5,0,0,0,0,5,6050,5,0,6050,199,140,47,0,5851,1805,2173,242,234,76,367,534,373,,35.0,,,,12.0,,,
3,22202,gm. Wińsko,7,6927,5248,2566,2682,0,16,1,1,0,0,0,0,1,2683,1,0,2683,141,114,24,0,2542,1229,608,54,92,156,116,212,60,,10.0,,,,5.0,,,
